,Generation,Best Solution,CrossOver,Mutation,Iteration
0,20000,3048,SCX,SM,26
2,1000,3081,SCX,RM,26
1,10000,3081,SCX,RM,26
0,20000,3081,SCX,RM,26
2,1000,4560,OX,ISM,27
1,10000,4056,OX,ISM,27
0,20000,4051,OX,ISM,27
2,1000,4696,OX,IVM,27
1,10000,4614,OX,IVM,27
0,20000,4415,OX,IVM,27
2,1000,4643,OX,SM,27
1,10000,4638,OX,SM,27
0,20000,4633,OX,SM,27
2,1000,4383,OX,RM,27
1,10000,4373,OX,RM,27
0,20000,4303,OX,RM,27
2,1000,3108,SCX,ISM,27
1,10000,3108,SCX,ISM,27
0,20000,3108,SCX,ISM,27
2,1000,3108,SCX,IVM,27
1,10000,3108,SCX,IVM,27
0,20000,3108,SCX,IVM,27
2,1000,3108,SCX,SM,27
1,10000,3108,SCX,SM,27
0,20000,3108,SCX,SM,27
2,1000,3061,SCX,RM,27
1,10000,3061,SCX,RM,27
0,20000,3061,SCX,RM,27
2,1000,3336,OX,ISM,28
1,10000,3276,OX,ISM,28
0,20000,3220,OX,ISM,28
2,1000,3336,OX,IVM,28
1,10000,3328,OX,IVM,28
0,20000,3283,OX,IVM,28
2,1000,3336,OX,SM,28
1,10000,3334,OX,SM,28
0,20000,3318,OX,SM,28
2,1000,4054,OX,RM,28
1,10000,4034,OX,RM,28
0,20000,4010,OX,RM,28
2,1000,3156,SCX,ISM,28
1,10000,3156,SCX,ISM,28
0,20000,3156,SCX,ISM,28
2,1000,3156,SCX,IVM,28
1,10000,3156,SCX,IVM,28
0,20000,3156,SCX,IVM,28
2,1000,3168,SCX,SM,28
1,10000,3168,SCX,SM,28
0,20000,3168,SCX,SM,28
2,1000,3117,SCX,RM,28
1,10000,3117,SCX,RM,28
0,20000,3117,SCX,RM,28
2,1000,3688,OX,ISM,29
1,10000,3684,OX,ISM,29
0,20000,3654,OX,ISM,29
2,1000,3818,OX,IVM,29
1,10000,3798,OX,IVM,29
0,20000,3753,OX,IVM,29
2,1000,4674,OX,SM,29
1,10000,4674,OX,SM,29
0,20000,4650,OX,SM,29
2,1000,3300,OX,RM,29
1,10000,3181,OX,RM,29
0,20000,3174,OX,RM,29
2,1000,3260,SCX,ISM,29
1,10000,3249,SCX,ISM,29
0,20000,3243,SCX,ISM,29
2,1000,3169,SCX,IVM,29
1,10000,3169,SCX,IVM,29
0,20000,3169,SCX,IVM,29
2,1000,3151,SCX,SM,29
1,10000,3151,SCX,SM,29
0,20000,3139,SCX,SM,29
2,1000,3116,SCX,RM,29
1,10000,3086,SCX,RM,29
0,20000,3086,SCX,RM,29
2,1000,4357,OX,ISM,30
1,10000,4250,OX,ISM,30
0,20000,4197,OX,ISM,30
2,1000,4466,OX,IVM,30
1,10000,4350,OX,IVM,30
0,20000,4340,OX,IVM,30
2,1000,4339,OX,SM,30
1,10000,4339,OX,SM,30
0,20000,4314,OX,SM,30
2,1000,3374,OX,RM,30
1,10000,3369,OX,RM,30
0,20000,3353,OX,RM,30
2,1000,3150,SCX,ISM,30
1,10000,3150,SCX,ISM,30
0,20000,3150,SCX,ISM,30
2,1000,3150,SCX,IVM,30
1,10000,3150,SCX,IVM,30
0,20000,3136,SCX,IVM,30
2,1000,3238,SCX,SM,30
1,10000,3238,SCX,SM,30
0,20000,3238,SCX,SM,30
2,1000,3214,SCX,RM,30
1,10000,3214,SCX,RM,30
0,20000,3206,SCX,RM,30
2,1000,3136,OX,ISM,31
1,10000,3133,OX,ISM,31
0,20000,3133,OX,ISM,31
2,1000,3222,OX,IVM,31
1,10000,3222,OX,IVM,31
0,20000,3199,OX,IVM,31
2,1000,3437,OX,SM,31
1,10000,3436,OX,SM,31
0,20000,3436,OX,SM,31
2,1000,3006,OX,RM,31
1,10000,3002,OX,RM,31
0,20000,2999,OX,RM,31
2,1000,3201,SCX,ISM,31
1,10000,3201,SCX,ISM,31
0,20000,3201,SCX,ISM,31
2,1000,3215,SCX,IVM,31
1,10000,3117,SCX,IVM,31
0,20000,3121,SCX,IVM,31
2,1000,3190,SCX,SM,31
1,10000,3190,SCX,SM,31
0,20000,3190,SCX,SM,31
2,1000,3116,SCX,RM,31
1,10000,3116,SCX,RM,31
0,20000,3116,SCX,RM,31
2,1000,4094,OX,ISM,32
1,10000,3985,OX,ISM,32
0,20000,3945,OX,ISM,32
2,1000,4244,OX,IVM,32
1,10000,4218,OX,IVM,32
0,20000,4014,OX,IVM,32
2,1000,4475,OX,SM,32
1,10000,4397,OX,SM,32
0,20000,4379,OX,SM,32
2,1000,3599,OX,RM,32
1,10000,3590,OX,RM,32
0,20000,3563,OX,RM,32
2,1000,3217,SCX,ISM,32
1,10000,3217,SCX,ISM,32
0,20000,3217,SCX,ISM,32
2,1000,3210,SCX,IVM,32
1,10000,3210,SCX,IVM,32
0,20000,3210,SCX,IVM,32
2,1000,3217,SCX,SM,32
1,10000,3217,SCX,SM,32
0,20000,3217,SCX,SM,32
2,1000,3212,SCX,RM,32
1,10000,3212,SCX,RM,32
0,20000,3212,SCX,RM,32
2,1000,3428,OX,ISM,33
1,10000,3425,OX,ISM,33
0,20000,3414,OX,ISM,33
2,1000,3755,OX,IVM,33
1,10000,3709,OX,IVM,33
0,20000,3689,OX,IVM,33
2,1000,3514,OX,SM,33
1,10000,3495,OX,SM,33
0,20000,3492,OX,SM,33
2,1000,3630,OX,RM,33
1,10000,3626,OX,RM,33
0,20000,3582,OX,RM,33
2,1000,3111,SCX,ISM,33
1,10000,3111,SCX,ISM,33
0,20000,3111,SCX,ISM,33
2,1000,3124,SCX,IVM,33
1,10000,3124,SCX,IVM,33
0,20000,3124,SCX,IVM,33
2,1000,3097,SCX,SM,33
1,10000,3097,SCX,SM,33
0,20000,3097,SCX,SM,33
